id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,footnote,min_year_acquired
34136730,2705392,614,0.309,"","","","","","",""
34136725,2705392,609,0.034,"","","","","","",""
34136719,2705392,573,0,"","","","","","",""
34136703,2705392,328,1.1,"","","","","","",""
34136700,2705392,321,7,"","","","","","",""
34136702,2705392,323,0.05,"","","","","","",""
34136699,2705392,320,32,"","","","","","",""
34136687,2705392,269,4.81,"","","","","","",""
34136684,2705392,255,88.1,"","","","","","",""
34136723,2705392,607,0.067,"","","","","","",""
34136683,2705392,221,0,"","","","","","",""
34136708,2705392,404,0.056,"","","","","","",""
34136740,2705392,630,0,"","","","","","",""
34136686,2705392,263,0,"","","","","","",""
34136696,2705392,312,0.001,"","","","","","",""
34136722,2705392,606,1.86,"","","","","","",""
34136718,2705392,435,0,"","","","","","",""
34136716,2705392,431,0,"","","","","","",""
34136717,2705392,432,0,"","","","","","",""
34136680,2705392,204,3.2,"","","","","","",""
34136728,2705392,612,0.303,"","","","","","",""
34136690,2705392,303,0,"","","","","","",""
34136698,2705392,319,31,"","","","","","",""
34136712,2705392,417,0,"","","","","","",""
34136705,2705392,337,0,"","","","","","",""
34136685,2705392,262,0,"","","","","","",""
34136739,2705392,629,0.001,"","","","","","",""
34136743,2705392,646,0.108,"","","","","","",""
34136681,2705392,205,4.63,"","","","","","",""
34136709,2705392,405,0.138,"","","","","","",""
34136733,2705392,619,0.013,"","","","","","",""
34136720,2705392,578,0,"","","","","","",""
34136713,2705392,418,0.54,"","","","","","",""
34136727,2705392,611,0.097,"","","","","","",""
34136694,2705392,307,38,"","","","","","",""
34136737,2705392,627,0,"","","","","","",""
34136736,2705392,626,0.047,"","","","","","",""
34136741,2705392,631,0.002,"","","","","","",""
34136701,2705392,322,0,"","","","","","",""
34136693,2705392,306,150,"","","","","","",""
34136742,2705392,645,0.688,"","","","","","",""
34136715,2705392,430,0.3,"","","","","","",""
34136706,2705392,338,0,"","","","","","",""
34136721,2705392,601,12,"","","","","","",""
34136695,2705392,309,0.42,"","","","","","",""
34136734,2705392,620,0.004,"","","","","","",""
34136704,2705392,334,0,"","","","","","",""
34136682,2705392,208,61,"","","","","","",""
34136697,2705392,317,1.9,"","","","","","",""
34136688,2705392,291,0,"","","","","","",""
34136738,2705392,628,0.004,"","","","","","",""
34136714,2705392,421,17.8,"","","","","","",""
34136679,2705392,203,3.27,"","","","","","",""
34136731,2705392,617,0.694,"","","","","","",""
34136710,2705392,406,0.105,"","","","","","",""
34136689,2705392,301,123,"","","","","","",""
34136692,2705392,305,101,"","","","","","",""
34136711,2705392,415,0.061,"","","","","","",""
34136707,2705392,401,0,"","","","","","",""
34136726,2705392,610,0.084,"","","","","","",""
34136729,2705392,613,0.857,"","","","","","",""
34136799,2705393,620,0,"","","","","","",""
34136784,2705393,573,0,"","","","","","",""
34136767,2705393,323,0.05,"","","","","","",""
34136756,2705393,304,11,"","","","","","",""
34136761,2705393,312,0.001,"","","","","","",""
34136787,2705393,606,0.552,"","","","","","",""
34136752,2705393,269,5.36,"","","","","","",""
34136765,2705393,321,0,"","","","","","",""
34136762,2705393,317,2,"","","","","","",""
34136805,2705393,630,0,"","","","","","",""
